run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212479	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212479.Aligned.sortedByCoord.out.bam	SRR12212479	young	GSM4669773	SAMN15520653	SRX8723083	young	GSM4669773	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669773	yGV_39A	yGV_39A	NSN
SRR12212480	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212480.Aligned.sortedByCoord.out.bam	SRR12212480	young	GSM4669774	SAMN15520652	SRX8723084	young	GSM4669774	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669774	yGV_39	yGV_39	NSN
SRR12212481	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212481.Aligned.sortedByCoord.out.bam	SRR12212481	young	GSM4669775	SAMN15520651	SRX8723085	young	GSM4669775	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669775	yGV_3A	yGV_3A	NSN
SRR12212482	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212482.Aligned.sortedByCoord.out.bam	SRR12212482	young	GSM4669776	SAMN15520650	SRX8723086	young	GSM4669776	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669776	yGV_3	yGV_3	NSN
SRR12212483	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212483.Aligned.sortedByCoord.out.bam	SRR12212483	young	GSM4669777	SAMN15520649	SRX8723087	young	GSM4669777	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669777	yGV_4A	yGV_4A	NSN
SRR12212484	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212484.Aligned.sortedByCoord.out.bam	SRR12212484	young	GSM4669778	SAMN15520694	SRX8723088	young	GSM4669778	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669778	yGV_4	yGV_4	NSN
SRR12212485	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212485.Aligned.sortedByCoord.out.bam	SRR12212485	young	GSM4669779	SAMN15520693	SRX8723089	young	GSM4669779	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669779	yGV_5A	yGV_5A	NSN
SRR12212486	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212486.Aligned.sortedByCoord.out.bam	SRR12212486	young	GSM4669780	SAMN15520691	SRX8723090	young	GSM4669780	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669780	yGV_5	yGV_5	NSN
SRR12212487	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212487.Aligned.sortedByCoord.out.bam	SRR12212487	young	GSM4669781	SAMN15520690	SRX8723091	young	GSM4669781	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669781	yGV_6A	yGV_6A	NSN
SRR12212488	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212488.Aligned.sortedByCoord.out.bam	SRR12212488	young	GSM4669782	SAMN15520689	SRX8723092	young	GSM4669782	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669782	yGV_6	yGV_6	NSN
SRR12212489	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212489.Aligned.sortedByCoord.out.bam	SRR12212489	young	GSM4669783	SAMN15520688	SRX8723093	young	GSM4669783	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669783	yGV_7A	yGV_7A	NSN
SRR12212490	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212490.Aligned.sortedByCoord.out.bam	SRR12212490	young	GSM4669784	SAMN15520687	SRX8723094	young	GSM4669784	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669784	yGV_7	yGV_7	NSN
